@relation bank-additional-full-weka.filters.unsupervised.attribute.RemoveType-Tnumeric

@attribute job {housemaid,services,admin.,blue-collar,technician,retired,management,unemployed,self-employed,unknown,entrepreneur,student}
@attribute marital {married,single,divorced,unknown}
@attribute education {basic.4y,high.school,basic.6y,basic.9y,professional.course,unknown,university.degree,illiterate}
@attribute default {no,unknown,yes}
@attribute housing {no,yes,unknown}
@attribute loan {no,yes,unknown}
@attribute contact {telephone,cellular}
@attribute month {may,jun,jul,aug,oct,nov,dec,mar,apr,sep}
@attribute day_of_week {mon,tue,wed,thu,fri}
@attribute poutcome {nonexistent,failure,success}
@attribute y {yes,no}

@data
blue-collar,married,basic.4y,no,no,yes,cellular,aug,thu,nonexistent,no
technician,single,professional.course,no,yes,no,cellular,aug,thu,nonexistent,no
blue-collar,married,basic.4y,no,yes,no,cellular,aug,thu,nonexistent,no
services,married,high.school,unknown,yes,no,cellular,aug,thu,nonexistent,no
technician,married,professional.course,unknown,yes,yes,cellular,aug,thu,nonexistent,no
housemaid,married,basic.4y,no,no,no,cellular,aug,thu,nonexistent,no
technician,married,professional.course,unknown,yes,no,cellular,aug,thu,nonexistent,no
technician,single,professional.course,no,yes,no,cellular,aug,thu,nonexistent,no
technician,married,professional.course,no,yes,no,cellular,aug,thu,nonexistent,no
services,married,basic.4y,unknown,yes,yes,cellular,aug,thu,nonexistent,no
blue-collar,married,basic.4y,no,yes,yes,cellular,aug,thu,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,aug,thu,nonexistent,yes
admin.,divorced,university.degree,no,yes,no,cellular,aug,thu,nonexistent,no
management,married,university.degree,unknown,no,no,cellular,aug,thu,nonexistent,no
technician,single,university.degree,no,no,no,cellular,aug,thu,nonexistent,no
technician,single,professional.course,no,yes,no,cellular,aug,thu,nonexistent,no
blue-collar,married,basic.4y,no,no,no,cellular,aug,thu,nonexistent,no
blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,thu,nonexistent,no
services,married,high.school,unknown,no,no,cellular,aug,thu,nonexistent,no
technician,married,high.school,no,no,no,cellular,aug,thu,nonexistent,no
blue-collar,married,basic.4y,no,yes,no,cellular,aug,thu,nonexistent,no
services,married,basic.4y,unknown,no,no,cellular,aug,thu,nonexistent,no
technician,married,professional.course,unknown,yes,no,cellular,aug,thu,nonexistent,no
blue-collar,married,basic.9y,unknown,unknown,unknown,cellular,aug,thu,nonexistent,no
technician,single,professional.course,no,no,no,cellular,aug,thu,nonexistent,no
blue-collar,married,basic.9y,unknown,yes,no,cellular,aug,thu,nonexistent,yes
management,married,university.degree,no,yes,no,cellular,aug,thu,nonexistent,no
admin.,single,university.degree,no,no,no,cellular,aug,thu,nonexistent,no
technician,married,professional.course,unknown,yes,no,cellular,aug,thu,nonexistent,no
technician,divorced,university.degree,no,yes,no,cellular,aug,thu,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,aug,thu,nonexistent,no
technician,married,high.school,no,yes,no,cellular,aug,thu,nonexistent,no
technician,married,professional.course,no,yes,no,cellular,aug,thu,nonexistent,no
technician,single,professional.course,no,no,no,cellular,aug,thu,nonexistent,no
blue-collar,married,basic.4y,no,no,no,cellular,aug,thu,nonexistent,no
technician,married,professional.course,unknown,yes,yes,cellular,aug,thu,nonexistent,no
technician,single,professional.course,no,yes,no,cellular,aug,thu,nonexistent,no
blue-collar,married,basic.9y,no,yes,yes,cellular,aug,thu,nonexistent,no
self-employed,single,university.degree,no,yes,no,cellular,aug,thu,nonexistent,no
admin.,single,university.degree,no,yes,yes,cellular,aug,thu,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,aug,thu,nonexistent,no
retired,married,basic.4y,unknown,yes,no,cellular,aug,thu,nonexistent,no
technician,divorced,professional.course,unknown,yes,no,cellular,aug,thu,nonexistent,yes
admin.,married,university.degree,no,yes,no,cellular,aug,thu,nonexistent,no
admin.,single,university.degree,no,no,no,cellular,aug,thu,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,aug,thu,nonexistent,no
services,married,professional.course,unknown,yes,no,cellular,aug,thu,nonexistent,no
management,married,university.degree,no,no,no,cellular,aug,thu,nonexistent,no
admin.,married,unknown,no,yes,no,cellular,aug,thu,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,aug,thu,nonexistent,no
blue-collar,married,basic.4y,no,yes,no,cellular,aug,thu,nonexistent,no
technician,divorced,high.school,no,no,no,cellular,aug,thu,nonexistent,no
admin.,divorced,university.degree,no,yes,no,cellular,aug,thu,nonexistent,no
housemaid,married,university.degree,no,yes,no,cellular,aug,thu,nonexistent,no
admin.,married,unknown,no,yes,no,cellular,aug,thu,nonexistent,no
housemaid,married,university.degree,no,yes,no,cellular,aug,thu,nonexistent,no
housemaid,married,university.degree,no,yes,no,cellular,aug,thu,nonexistent,no
technician,single,professional.course,unknown,no,no,telephone,aug,thu,nonexistent,no
technician,single,professional.course,no,no,no,cellular,aug,thu,nonexistent,no
blue-collar,married,professional.course,no,yes,no,cellular,aug,thu,nonexistent,no
technician,married,university.degree,no,no,no,cellular,aug,thu,nonexistent,no
technician,married,university.degree,no,yes,no,cellular,aug,thu,nonexistent,no
retired,married,high.school,no,no,no,cellular,aug,fri,nonexistent,no
admin.,divorced,university.degree,no,unknown,unknown,cellular,aug,fri,nonexistent,no
retired,married,basic.4y,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,yes,yes,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,unknown,yes,yes,cellular,aug,fri,nonexistent,no
technician,single,professional.course,no,yes,yes,cellular,aug,fri,nonexistent,no
technician,single,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
technician,single,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
technician,married,professional.course,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.6y,unknown,yes,no,cellular,aug,fri,nonexistent,no
technician,divorced,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,yes,yes,cellular,aug,fri,nonexistent,no
retired,married,high.school,no,no,no,cellular,aug,fri,nonexistent,no
technician,single,university.degree,no,yes,no,cellular,aug,fri,nonexistent,yes
technician,single,professional.course,no,yes,no,cellular,aug,fri,nonexistent,no
technician,divorced,professional.course,unknown,yes,no,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
technician,single,university.degree,no,yes,yes,cellular,aug,fri,nonexistent,no
housemaid,married,unknown,unknown,yes,yes,cellular,aug,fri,nonexistent,no
retired,married,professional.course,no,yes,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.4y,unknown,no,no,cellular,aug,fri,nonexistent,no
services,married,high.school,unknown,yes,yes,cellular,aug,fri,nonexistent,no
services,married,high.school,unknown,yes,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.4y,unknown,yes,no,cellular,aug,fri,nonexistent,no
technician,single,university.degree,unknown,yes,no,cellular,aug,fri,nonexistent,yes
blue-collar,married,illiterate,no,yes,no,cellular,aug,fri,nonexistent,no
technician,single,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
self-employed,married,basic.9y,no,yes,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.6y,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,unknown,yes,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,unknown,yes,no,cellular,aug,fri,nonexistent,no
admin.,married,high.school,no,yes,no,cellular,aug,fri,nonexistent,no
self-employed,married,basic.9y,no,yes,no,cellular,aug,fri,nonexistent,no
technician,married,high.school,unknown,no,no,cellular,aug,fri,nonexistent,no
admin.,married,professional.course,no,yes,no,cellular,aug,fri,nonexistent,no
services,married,basic.9y,no,yes,yes,cellular,aug,fri,nonexistent,no
technician,married,high.school,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,single,professional.course,unknown,yes,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
technician,divorced,professional.course,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,unknown,unknown,cellular,aug,fri,nonexistent,no
retired,married,university.degree,unknown,no,yes,cellular,aug,fri,nonexistent,no
admin.,married,unknown,unknown,unknown,unknown,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,yes,no,cellular,aug,fri,nonexistent,yes
admin.,married,university.degree,no,yes,no,cellular,aug,fri,nonexistent,yes
technician,married,professional.course,no,no,no,cellular,aug,fri,nonexistent,no
technician,married,professional.course,no,yes,no,cellular,aug,fri,nonexistent,yes
self-employed,married,basic.9y,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,married,professional.course,no,yes,yes,cellular,aug,fri,nonexistent,no
services,married,unknown,no,yes,yes,cellular,aug,fri,nonexistent,no
technician,divorced,professional.course,no,yes,no,cellular,aug,fri,nonexistent,no
technician,single,professional.course,no,no,no,cellular,aug,fri,nonexistent,no
admin.,divorced,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
services,married,unknown,no,yes,no,cellular,aug,fri,nonexistent,no
services,married,unknown,no,no,no,cellular,aug,fri,nonexistent,no
services,married,unknown,no,no,no,cellular,aug,fri,nonexistent,yes
admin.,single,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
self-employed,married,professional.course,no,yes,no,cellular,aug,fri,nonexistent,no
housemaid,married,unknown,no,yes,no,cellular,aug,fri,nonexistent,no
housemaid,married,professional.course,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,married,unknown,no,no,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,unknown,unknown,cellular,aug,fri,nonexistent,no
housemaid,married,professional.course,no,no,no,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,no,yes,cellular,aug,fri,nonexistent,no
admin.,divorced,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.6y,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.6y,no,no,no,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.9y,no,no,yes,cellular,aug,fri,nonexistent,no
admin.,single,high.school,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,unknown,no,no,cellular,aug,fri,nonexistent,no
admin.,single,high.school,no,no,no,cellular,aug,fri,nonexistent,no
admin.,single,high.school,no,no,no,cellular,aug,fri,nonexistent,no
admin.,single,high.school,no,no,no,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,aug,fri,nonexistent,yes
admin.,married,unknown,no,yes,no,cellular,aug,fri,nonexistent,no
services,married,basic.4y,unknown,yes,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.9y,no,yes,no,cellular,aug,fri,nonexistent,no
services,married,unknown,no,no,no,cellular,aug,fri,nonexistent,no
self-employed,married,basic.9y,no,no,no,telephone,aug,fri,nonexistent,no
technician,married,university.degree,unknown,no,no,cellular,aug,fri,nonexistent,no
technician,married,high.school,no,yes,no,cellular,aug,fri,nonexistent,no
unemployed,married,high.school,unknown,no,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.4y,no,no,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,yes,yes,cellular,aug,fri,nonexistent,no
services,married,high.school,unknown,no,no,cellular,aug,fri,nonexistent,no
admin.,divorced,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
retired,married,unknown,no,yes,no,cellular,aug,fri,nonexistent,no
technician,single,high.school,unknown,yes,yes,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.4y,no,no,no,cellular,aug,fri,nonexistent,no
self-employed,married,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,no,yes,cellular,aug,fri,nonexistent,no
self-employed,married,university.degree,no,yes,yes,cellular,aug,fri,nonexistent,no
technician,married,university.degree,unknown,yes,no,cellular,aug,fri,nonexistent,no
technician,divorced,professional.course,no,yes,no,cellular,aug,fri,nonexistent,no
technician,married,university.degree,unknown,yes,no,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
management,married,high.school,no,yes,no,cellular,aug,fri,nonexistent,no
retired,married,unknown,no,no,no,cellular,aug,fri,nonexistent,no
retired,married,unknown,no,no,yes,cellular,aug,fri,nonexistent,no
technician,single,high.school,unknown,no,no,cellular,aug,fri,nonexistent,yes
blue-collar,married,basic.4y,unknown,no,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.4y,no,no,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
unemployed,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
unemployed,married,university.degree,no,yes,yes,cellular,aug,fri,nonexistent,no
services,married,high.school,unknown,no,no,cellular,aug,fri,nonexistent,no
services,married,high.school,unknown,yes,no,cellular,aug,fri,nonexistent,yes
technician,single,professional.course,no,yes,yes,cellular,aug,fri,nonexistent,no
admin.,single,high.school,no,yes,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.6y,no,yes,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.6y,no,yes,no,cellular,aug,fri,nonexistent,no
blue-collar,married,unknown,unknown,yes,yes,cellular,aug,fri,nonexistent,no
retired,married,unknown,no,yes,yes,cellular,aug,fri,nonexistent,no
blue-collar,married,unknown,unknown,yes,no,cellular,aug,fri,nonexistent,no
retired,married,unknown,no,no,no,cellular,aug,fri,nonexistent,no
technician,single,professional.course,no,yes,no,cellular,aug,fri,nonexistent,no
self-employed,married,basic.9y,unknown,no,no,cellular,aug,fri,nonexistent,yes
blue-collar,married,basic.6y,unknown,no,no,cellular,aug,fri,nonexistent,no
technician,single,professional.course,no,yes,no,cellular,aug,fri,nonexistent,no
technician,single,university.degree,no,yes,yes,cellular,aug,fri,nonexistent,no
technician,single,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,single,high.school,no,no,no,cellular,aug,fri,nonexistent,no
admin.,single,high.school,no,no,no,cellular,aug,fri,nonexistent,no
self-employed,married,basic.9y,unknown,yes,no,cellular,aug,fri,nonexistent,no
technician,married,professional.course,no,yes,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.9y,no,yes,no,telephone,aug,fri,nonexistent,no
technician,single,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
blue-collar,married,unknown,unknown,yes,no,cellular,aug,fri,nonexistent,no
housemaid,married,professional.course,no,yes,no,cellular,aug,fri,nonexistent,no
blue-collar,married,unknown,unknown,yes,no,cellular,aug,fri,nonexistent,no
unemployed,married,high.school,unknown,yes,no,cellular,aug,fri,nonexistent,no
technician,single,high.school,no,yes,no,cellular,aug,fri,nonexistent,no
technician,single,high.school,no,no,no,cellular,aug,fri,nonexistent,no
admin.,divorced,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
technician,single,high.school,no,no,no,cellular,aug,fri,nonexistent,no
technician,single,university.degree,no,no,yes,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
technician,married,professional.course,unknown,no,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
technician,single,university.degree,no,no,yes,cellular,aug,fri,nonexistent,no
technician,single,high.school,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,married,high.school,no,yes,no,cellular,aug,fri,nonexistent,no
technician,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
blue-collar,married,unknown,no,no,no,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,yes,yes,cellular,aug,fri,nonexistent,no
retired,married,basic.4y,unknown,yes,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.9y,no,yes,no,cellular,aug,fri,nonexistent,no
technician,single,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
technician,single,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,married,high.school,no,yes,no,cellular,aug,fri,nonexistent,no
technician,married,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
technician,divorced,professional.course,no,yes,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.9y,no,yes,no,cellular,aug,fri,nonexistent,yes
technician,single,university.degree,no,yes,yes,cellular,aug,fri,nonexistent,no
technician,divorced,professional.course,no,no,no,telephone,aug,fri,nonexistent,no
technician,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
technician,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
housemaid,married,unknown,no,yes,no,cellular,aug,fri,nonexistent,no
technician,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
technician,single,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
admin.,married,basic.4y,no,no,no,cellular,aug,fri,nonexistent,no
retired,married,university.degree,unknown,no,no,cellular,aug,fri,nonexistent,no
services,married,high.school,no,no,no,cellular,aug,fri,nonexistent,no
technician,married,professional.course,no,no,no,cellular,aug,fri,nonexistent,no
unemployed,married,high.school,unknown,yes,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.4y,no,no,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,unknown,yes,no,cellular,aug,fri,nonexistent,no
technician,single,professional.course,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,yes
technician,single,professional.course,no,yes,yes,cellular,aug,fri,nonexistent,no
services,married,high.school,no,no,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
technician,single,professional.course,no,yes,no,cellular,aug,fri,nonexistent,no
technician,married,professional.course,unknown,yes,no,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
blue-collar,married,unknown,unknown,yes,yes,cellular,aug,fri,nonexistent,no
technician,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
technician,single,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
technician,married,professional.course,no,no,no,cellular,aug,fri,nonexistent,no
services,married,high.school,unknown,yes,no,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,no,yes,cellular,aug,fri,nonexistent,no
services,married,basic.4y,unknown,yes,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.9y,unknown,no,no,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
management,married,university.degree,unknown,yes,yes,cellular,aug,fri,nonexistent,no
self-employed,married,basic.9y,no,yes,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.9y,no,no,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
retired,married,unknown,no,no,no,cellular,aug,fri,nonexistent,no
admin.,divorced,university.degree,unknown,yes,yes,cellular,aug,fri,nonexistent,no
unemployed,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
management,married,university.degree,unknown,no,no,telephone,aug,fri,nonexistent,no
technician,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.4y,no,yes,no,telephone,aug,fri,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
technician,married,professional.course,no,no,no,cellular,aug,fri,nonexistent,no
technician,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
technician,single,university.degree,no,no,yes,cellular,aug,fri,nonexistent,no
admin.,married,unknown,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,yes,yes,cellular,aug,fri,nonexistent,no
services,married,basic.4y,unknown,no,no,cellular,aug,fri,nonexistent,no
technician,single,professional.course,unknown,unknown,unknown,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
technician,married,professional.course,unknown,yes,no,cellular,aug,fri,nonexistent,no
technician,divorced,high.school,no,no,no,cellular,aug,fri,nonexistent,no
technician,married,high.school,no,no,no,cellular,aug,fri,nonexistent,no
technician,single,professional.course,no,no,yes,cellular,aug,fri,nonexistent,no
technician,married,professional.course,unknown,no,no,cellular,aug,fri,nonexistent,no
technician,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
technician,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.4y,unknown,no,no,cellular,aug,fri,nonexistent,no
technician,single,professional.course,no,no,no,cellular,aug,fri,nonexistent,no
technician,single,professional.course,no,no,no,cellular,aug,fri,nonexistent,no
technician,married,professional.course,unknown,yes,no,cellular,aug,fri,nonexistent,no
admin.,married,unknown,unknown,no,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.9y,unknown,no,no,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,unknown,unknown,cellular,aug,fri,nonexistent,no
admin.,divorced,high.school,no,unknown,unknown,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,unknown,no,no,cellular,aug,fri,nonexistent,no
admin.,married,high.school,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,divorced,university.degree,no,unknown,unknown,cellular,aug,fri,nonexistent,no
management,married,university.degree,no,no,yes,cellular,aug,fri,nonexistent,no
management,married,high.school,no,no,no,cellular,aug,fri,nonexistent,no
retired,married,basic.4y,unknown,yes,no,cellular,aug,fri,nonexistent,no
self-employed,married,basic.9y,no,yes,yes,cellular,aug,fri,nonexistent,yes
admin.,single,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
technician,married,professional.course,no,no,yes,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,yes,yes,telephone,aug,fri,nonexistent,no
admin.,divorced,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
retired,married,unknown,no,no,no,cellular,aug,fri,nonexistent,no
management,married,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
technician,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.9y,unknown,no,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.9y,unknown,no,no,cellular,aug,fri,nonexistent,no
technician,married,professional.course,no,no,no,cellular,aug,fri,nonexistent,no
management,married,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
unemployed,married,basic.9y,no,no,no,cellular,aug,fri,nonexistent,no
technician,divorced,high.school,no,yes,no,cellular,aug,fri,nonexistent,no
management,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
entrepreneur,married,high.school,no,no,no,cellular,aug,fri,nonexistent,no
self-employed,married,high.school,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,yes,yes,cellular,aug,fri,nonexistent,no
self-employed,married,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
management,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
technician,married,professional.course,no,no,yes,cellular,aug,fri,nonexistent,no
self-employed,married,basic.9y,no,no,yes,cellular,aug,fri,nonexistent,no
technician,married,professional.course,no,no,yes,cellular,aug,fri,nonexistent,no
technician,divorced,professional.course,no,yes,no,cellular,aug,fri,nonexistent,no
housemaid,married,basic.4y,no,yes,yes,cellular,aug,fri,nonexistent,no
housemaid,married,basic.4y,no,yes,yes,cellular,aug,fri,nonexistent,no
management,married,university.degree,no,unknown,unknown,cellular,aug,fri,nonexistent,no
housemaid,married,basic.6y,no,no,no,cellular,aug,fri,nonexistent,no
technician,divorced,professional.course,no,no,no,cellular,aug,fri,nonexistent,no
blue-collar,married,illiterate,no,no,no,cellular,aug,fri,nonexistent,no
technician,married,high.school,no,yes,yes,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
management,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
technician,divorced,high.school,no,no,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,yes,yes,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
admin.,married,professional.course,no,no,yes,cellular,aug,fri,nonexistent,no
admin.,married,professional.course,no,yes,yes,cellular,aug,fri,nonexistent,no
technician,married,professional.course,no,yes,yes,cellular,aug,fri,nonexistent,no
technician,single,professional.course,no,yes,yes,cellular,aug,fri,nonexistent,no
technician,single,professional.course,no,no,yes,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
technician,divorced,professional.course,no,no,no,cellular,aug,fri,nonexistent,no
entrepreneur,married,high.school,no,no,no,cellular,aug,fri,nonexistent,no
technician,married,professional.course,unknown,yes,no,cellular,aug,fri,nonexistent,no
technician,married,professional.course,no,no,no,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
technician,married,professional.course,no,yes,no,cellular,aug,fri,nonexistent,no
housemaid,married,basic.4y,no,yes,yes,cellular,aug,fri,nonexistent,no
technician,married,professional.course,unknown,yes,no,cellular,aug,fri,nonexistent,no
admin.,married,unknown,no,no,no,telephone,aug,fri,nonexistent,no
admin.,single,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.4y,no,no,no,cellular,aug,fri,nonexistent,no
technician,married,professional.course,no,yes,yes,cellular,aug,fri,nonexistent,no
admin.,married,professional.course,no,yes,yes,cellular,aug,fri,nonexistent,no
technician,married,university.degree,no,yes,yes,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.4y,unknown,no,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,yes,yes,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,no,yes,cellular,aug,fri,nonexistent,no
technician,single,professional.course,no,no,no,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,no,yes,no,cellular,aug,fri,nonexistent,no
management,married,university.degree,unknown,no,no,telephone,aug,fri,nonexistent,no
admin.,married,unknown,no,yes,yes,cellular,aug,fri,nonexistent,no
technician,divorced,high.school,no,no,no,cellular,aug,fri,nonexistent,no
technician,married,professional.course,no,no,no,cellular,aug,fri,nonexistent,no
admin.,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
unemployed,married,professional.course,no,yes,yes,cellular,aug,fri,nonexistent,no
technician,single,university.degree,no,no,yes,cellular,aug,fri,nonexistent,no
management,married,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
services,married,unknown,no,no,no,cellular,aug,fri,nonexistent,no
self-employed,married,professional.course,no,no,no,cellular,aug,fri,nonexistent,no
housemaid,married,basic.4y,no,no,no,cellular,aug,fri,nonexistent,no
admin.,single,university.degree,unknown,no,no,cellular,aug,fri,nonexistent,no
blue-collar,married,basic.4y,unknown,no,no,cellular,aug,fri,nonexistent,no
technician,single,university.degree,no,no,no,cellular,aug,fri,nonexistent,no
housemaid,married,basic.4y,no,yes,no,cellular,aug,fri,nonexistent,no
